OBJECTID,incident_description,incident_export_date,incident_address,incident_good_source,incident_good_publication,Type,long,lat
1,"Sen. Ted Cruz (R-TX), on his podcast 'The Verdict with Ted Cruz,' blamed China for COVID-19 and made fun of the media for avoiding the use of ""Wuhan"" when referring to the virus.",3/11/2020,"Austin, TX, USA",https://www.washingtontimes.com/news/2020/mar/11/ted-cruz-rips-self-parodying-media-for-wuhan-word-/,The Washington Times,Stigmatizing Statement,-97.74299,30.26759
2,"A passenger in a rideshare rolled down their car window and yelled at an Asian woman jogging in place, saying, ""Nice abs."" He then rolled up the window and told the driver, ""Ah, [expletive] I don't speak corona.""",3/1/2020,"Austin, TX, USA",https://www.kvue.com/article/news/how-the-coronavirus-has-impacted-the-austin-asian-community/269-d3318e79-1242-4a26-8046-569fe6e2cb38,KVUE,Verbal Harassment,-97.74299,30.26759
3,A university meme page had memes targeting the Chinese national rowing team that was visiting campus.,2/15/2020,"Waco, TX, USA",https://baylorlariat.com/2020/03/02/stop-supporting-offensive-baylor-meme-pages/,Baylor Lariat,Racist Sign/Note,-97.1495,31.57182
4,"A Vietnamese American veteran started coughing after choking on some water. A woman in front of him proceeded to scold him before saying, ""Well, all you Asian people are spreading the coronavirus, and I don't want to partake in that mess that y'all started.""",3/7/2020,"Irving, TX, USA","https://theeagle.com/news/state-and-regional/as-coronavirus-spreads-some-asian-americans-worry-their-leaders-language/article_32a45e70-3f91-5ee7-8208-8cebab9f8615.html, https://www.houstonchronicle.com/opinion/outlook/article/You-can-help-end-the-spike-in-anti-Asian-bias-15232113.php",The Eagle,Verbal Harassment,-96.95534,32.81352
5,"A Chinese female student heard an acquaintance refer to COVID-19 as the ""Chinese Virus.""",3/7/2020,"Dallas, TX, USA",https://lmtribune.com/coronavirus/ucla-player-chou-no-fan-of-chinese-virus-epithet/article_e34ca358-6f5a-55d6-8b99-fd0109869570.html,The Lewiston Tribune,Verbal Harassment,-96.79512,32.77822
6,A man attacked a Burmese family at a grocery store. The perpetrator sliced the son's face and stabbed other members of the family. The perpetrator claimed that he attacked the family because he thought they were Chinese and infecting people with the coronavirus.,3/14/2020,"Midland, TX, USA",https://www.thedailybeast.com/stabbing-of-asian-american-2-year-old-and-her-family-was-a-coronavirus-fueled-hate-crime-feds-say?ref=author,The Daily Beast,Physical Harassment,-102.07446,32.00002
7,"A woman walking downtown was nearly hit by a driver who yelled at her, blaming her for the coronavirus.",3/15/2020,"Fort Worth, TX, USA",https://www.pressreader.com/usa/houston-chronicle-sunday/20200830/281569473117008,Press Reader,Verbal Harassment,-97.33086,32.75095
8,"A Chinese family was walking in their neighborhood when a man drove by and yelled, ""You give us a virus, you (expletive) Chinese.""",3/15/2020,"Austin, TX, USA",http://www.theaustinvillager.com/current/page6_Apr3.pdf,The Austin Villager,Verbal Harassment,-97.74299,30.26759
10,"A Korean international student at Angelo State University returned to his dorm where he found multiple ""coronavirus"" posters taped to his door. ",3/27/2020,"San Angelo, TX, USA",https://sanangelolive.com/news/crime/2020-04-01/racist-coronavirus-posters-plastered-dorm-room-door-led-angelo-state-brawl-some-say,San Angel Olive,Vandalism/Graffiti,-100.44242,31.4615
11,"In a TV ad, House candidate Kathaleen Wall (R-TX) embraced President Trump's description of the virus as the ""Chinese virus,"" saying the country ""poisoned our people"" and must pay for it. A narrator denounced China as a ""criminal enterprise masquerading as a sovereign nation.""",4/1/2020,"Houston, TX, USA",https://www.texastribune.org/2020/04/02/texas-congressional-candidate-kathaleen-wall-blames-china-coronavirus/,The Texas Tribune,Stigmatizing Statement,-95.36952,29.76078
12,"A customer at a restaurant asked an employee, ""Do you have coronavirus because you work for Asians?""",4/1/2020,"Richardson, TX, USA",https://www.star-telegram.com/entertainment/restaurants/eats-beat/article241782696.html,Fort Worth Star-Telegram,Verbal Harassment,-96.73297,32.96074
13,"Rep. Matt Krause (R-TX), Rep. Mike Lang (R-TX), Rep. Tony Tinderholt (R-TX), and Rep. Bill Zedler (R-TX) signed a Freedom Caucus letter making five references to the ""Wuhan virus.""",4/14/2020,"TX, USA",https://twitter.com/TxFreedomCaucus/status/1250170838374060032/photo/1,Fort Worth Star-Telegram,Stigmatizing Statement,-99.33305009,31.46273305
14,"A university specific meme account ""has taken a more 'racial' focus, showing people avoiding Chinese people in a reference to the disease‘s origin in Wuhan province, China."" ",1/27/2020,"Waco, TX, USA",https://baylorlariat.com/2020/01/27/dont-let-coronavirus-memes-fuel-xenophobia/,Baylor Lariat,Online/Social Media Harassment,-97.1495,31.57182
15,"A letter sent by the Round Rock school district addressing concerns over the coronavirus affecting the Austin Chinese Culture Festival received backlash from community members and elected officials. Although the letter stated it would not cancel the event, it did state that the high school where the festival would take place would be thoroughly cleaned after the event.",2/12/2020,"Austin, TX, USA",https://www.statesman.com/news/20200219/round-rock-isd-chinese-festival-organizers-explain-problematic-letter-on-coronavirus,Austin-American Statesman,Stigmatizing Statement,-97.74299,30.26759
16,"A woman verbally harassed employees of a Vietnamese restaurant outside a store parking lot. She yelled: ""Get out of our country!"" and ""Get out of the United States!""",4/7/2020,"Houston, TX, USA",https://abc13.com/racist-rant-houston-texas-on-video-shopper-racism/6088094/,ABC 13,Verbal Harassment,-95.36952,29.76078
17,A restaurant posted a message on Facebook against anti-Asian hate. Their page then became the target of online trolls from outside the state.,4/7/2020,"Richard, TX, USA",https://www.star-telegram.com/entertainment/restaurants/eats-beat/article241782696.html,Fort Worth Star-Telegram,Online/Social Media Harassment,-99.08121354,30.34445181
18,"Former State Rep. Matt Rinaldi (R-TX) described COVID-19 on Twitter as the ""Kung flu.""",4/1/2020,"TX, USA",https://www.texasmonthly.com/politics/kathaleen-wall-ad-coronavirus-china/,TexasMonthly,Stigmatizing Statement,-99.33305009,31.46273305
19,"Sen. Ted Cruz (R-TX) said President Trump was not to blame because he ""wasn't serving bat soup in the Wuhan province.""",3/21/2020,"TX, USA",https://www.texasmonthly.com/politics/kathaleen-wall-ad-coronavirus-china/,TexasMonthly,Stigmatizing Statement,-99.33305009,31.46273305
20,"A South Korean university student went to a store for groceries, and people are looking at her like she had the virus. When she went out wearing a mask to protect herself, people stepped back from her and took pictures of her.",4/1/2020,"Stephenville, TX, USA",https://jtacnews.com/12003/student-life/covid-19-poses-challenges-for-international-students/,The JTAC,Avoidance,-98.20195,32.22032
21,"A South Korean university student went to a store for groceries, and people are looking at her like she had the virus. When she went out wearing a mask to protect herself, people stepped back from her and took pictures of her.",4/1/2020,"Stephenville, TX, USA",https://jtacnews.com/12003/student-life/covid-19-poses-challenges-for-international-students/,The JTAC,Avoidance,-98.20195,32.22032
22,"Co-founder of the Tea Party Patriots referred to COVID-19 as the ""Wuhan flu"" and the ""Chinese Communist Party pandemic"" on his podcast, stating that China ""has to pay a price"" for ""foisting"" the virus on the world.",4/26/2020,"Houston, TX, USA",https://www.sfchronicle.com/politics/article/Reopen-California-coronavirus-protests-15238910.php,San Francisco Chronicle,Stigmatizing Statement,-95.36952,29.76078
23,"On FOX@Night, Rep. Mike McCaul (R-TX) blamed the Chinese government for the coronavirus outbreak and said ""we have a global pandemic that originated out of Wuhan — they allowed millions of people to come to Wuhan to celebrate their Spring festival. Five million of them leading the area and traveling domestically and abroad – they went into laboratories and shut them down – destroyed laboratory samples and they detained eight of the doctors trying to speak the truth about what really happened in Wuhan.”",3/24/2020,"Austin, TX, USA",https://www.hammondstar.com/opinion/columnists/how-virus-started-warrants-investigating/article_82163e87-3a63-597d-a39e-663df3cfab83.html,Hammond Star,Stigmatizing Statement,-97.74299,30.26759
24,A false rumor was spread on social media that COVID-19 was discovered at an Asian grocery store.,1/23/2020,"Houston, TX, USA",https://www.click2houston.com/news/local/2020/01/29/coronavirus-rumor-leads-to-loss-of-business-for-local-chinatown-supermarket/,Click2Houston,Online/Social Media Harassment,-95.36952,29.76078
25,"Sen. Ted Cruz (R-TX) tweeted in response to the San Antonio City Council's resolution attacking the term ""Chinese virus:"" ""This is NUTS.....If they want to investigate someone, start with NYT & CNN who both repeatedly (and rightly) referred to it as ""the Chinese coronavirus."" ",5/7/2020,"Houston, TX, USA",https://twitter.com/tedcruz/status/1258464008350380032,Twitter,Stigmatizing Statement,-95.36952,29.76078
26,"A restaurant put up a sign that said, ""Don't buy Chinese... buy American.""",4/15/2020,"San Antonio, TX, USA",https://www.mysanantonio.com/news/local/article/Chester-s-Hamburgers-responds-to-outrage-caused-15219277.php,My San Antonio,Racist Sign/Note,-98.49461,29.42458
27,"An individual was told by a TSA agent, ""I hope you're not ill"" while she was wearing a protective mask.",1/15/2020,"Houston, TX, USA",https://www.latimes.com/california/story/2020-02-03/fear-panic-around-the-coronavirus-fuels-racist-sentiment,Los Angeles Times,Verbal Harassment,-95.36952,29.76078
29,"A kid on a bike opened the door to a restaurant and asked, ""Hey, want some coronavirus?""",2/7/2020,"Houston, TX, USA",https://www.houstonchronicle.com/opinion/outlook/article/Being-Asian-in-the-time-of-coronavirus-15032747.php,Houston Chronicle,Verbal Harassment,-95.36952,29.76078
30,"A woman walked into the gym and coughed because she had just come in from the cold. People left the room or moved far away from her, treating her ""like a plague.""",2/7/2020,"Austin, TX, USA",https://www.kxan.com/news/local/austin/coronavirus-fears-leading-to-discrimination-asian-americans-report/,KXAN,Avoidance,-97.74299,30.26759
31,"A man was at a grocery store when someone told him to ""go back"" to his country.",5/10/2020,"San Antonio, TX, USA",https://www.mysanantonio.com/business/article/Ice-cream-shop-15267822.php,My San Antonio,Verbal Harassment,-98.49461,29.42458
32,"Protesters gathered at the Alamo to defend their right to call the pandemic the ""Kung Flu."" That afternoon, a plane flew over the city carrying a banner with the following message: ""SAYCHINESEVIRUS.com.""",5/11/2020,"San Antonio, TX, USA",https://www.expressnews.com/news/news_columnists/gilbert_garcia/article/Garcia-Well-intentioned-council-resolution-only-15266895.php,Express News,Stigmatizing Statement,-98.49461,29.42458
33,A woman was crossing the street when a man told her to go back to her country and proceeded to use profanity against her.,5/10/2020,"TX, USA",https://websterjournal.com/2020/05/11/webster-students-experience-discrimination-during-covid-19-due-to-asian-heritage/,Webster Journal,Verbal Harassment,-99.33305009,31.46273305
34,"A man was yelled at by a woman in a post office who told him that ""you people"" spread disease.",5/1/2020,"Austin, TX, USA",https://www.statesman.com/business/20200507/coronavirus-in-austin-asian-american-businesses-eye-reopening-amid-pandemic-related-racism-concerns,Austin-American Statesman,Verbal Harassment,-97.74299,30.26759
35,"Rep. Chip Roy (R-TX), in a video appeal to donors in response to San Antonio City Council's unanimous decision to condemn the terms ""Chinese virus,"" and ""Kung flu,"" said, ""They want to send the authorities after you if you utter the phrase 'Chinese virus.' This, after last year they kicked Chick-fil-A out of the San Antonio airport.""",5/8/2020,"TX, USA",https://www.washingtonpost.com/politics/paloma/the-trailer/2020/05/10/the-trailer-republicans-are-going-after-democrats-by-going-after-china/5eb733cc88e0fa17cddf6c21/,The Washington Post,Stigmatizing Statement,-99.33305009,31.46273305
36,A South Asian American man was subject to anti-immigrant comments made against him and his family.,7/12/2020,"Fort Bend County, TX, USA",https://www.khou.com/article/news/local/fort-bend-county-judge-kp-george-responds-to-racist-anti-immigrant-comments/285-e52f58bf-4f3e-48ab-abae-2441a837eca9,Khou 11,Online/Social Media Harassment,-95.77064455,29.52745423
37,"President Trump, at a rally In Dallas, TX, spoke about ""the plague coming in from China.""",6/11/2020,"Dallas, TX, USA",https://www.latimes.com/politics/story/2020-06-12/trumps-solution-for-the-coronavirus-dont-talk-about-it,Los Angeles Times,Stigmatizing Statement,-96.79512,32.77822
38,"The Texas Department of Agriculture Commissioner used ""China virus"" in an interview when describing mystery seeds sent from China into Texas.",7/15/2020,"TX, USA",https://www.texastribune.org/2020/07/29/texas-seeds-china-mail/,The Texas Tribune,Stigmatizing Statement,-99.33305009,31.46273305
39,"A woman was in a grocery store parking lot when a stranger in a car yelled ""Corona!"" at her.",3/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin-American Statesman,Verbal Harassment,-97.74299,30.26759
40,A doctorate student was targeted by a person who threw something at him.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin-American Statesman,Physical Harassment,-97.74299,30.26759
41,A man was targeted by a woman who screamed something inaudible from a car.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
42,A man was targeted by a stranger who yelled obscenities at him.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
43,A man was targeted by a stranger who yelled obscenities at him.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
44,A doctorate student was sprayed with a water gun as they drove by.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin-American Statesman,Physical Harassment,-97.74299,30.26759
45,A man was harassed by a group of men who used anti-Chinese and homophobic slurs while he was riding a bicycle through a neighborhood.,7/18/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
46,A man was harassed by a group of men who used anti-Chinese and homophobic slurs while he was riding a bicycle through a neighborhood.,7/18/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
47,An individual was told to go back to their country by a person who used a racial epithet to describe the coronavirus.,5/7/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
48,An individual was told to go back to their country by a person who used a racial epithet to describe the coronavirus.,5/7/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
49,An Asian food supply company had three of its trucks vandalized.,7/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Vandalism/Graffiti,-97.74299,30.26759
50,"A parent who spoke during public comment said that ""the Chinese plague is successfully treatable."" The parent was immediately booed by the audience, to which they responded, ""Chinese is not a race.""",6/15/2020,"Southlake, TX, USA",https://www.star-telegram.com/news/local/community/northeast-tarrant/article243614432.html,Fort Worth Star-Telegram,Stigmatizing Statement,-97.13121,32.94256
51,"Assistant attorney general, Nick Moutos (TX), tweeted, ""Speaking out against the #ChinaVirus #Plandemic & #Democrats using it to steal #Election2020 makes people angry. Stories slamming me & others in #Salon #MensHealth #AlterNet were enough to cost me my job."" ""Plandemic"" refers to the conspiracy theory that the coronavirus was planned by the Chinese government and engineered in a lab in Wuhan, China.",9/3/2020,"TX, USA",https://www.caller.com/story/news/2020/09/04/assistant-texas-attorney-general-loses-job-after-racist-tweets/5716961002/,Caller Times,Stigmatizing Statement,-99.33305009,31.46273305
52,"The president of the Comal Independent School District Trustees wrote a letter that included the term ""Chinese virus."" ",8/17/2020,"New Braunfels, TX, USA",https://www.kens5.com/article/news/health/coronavirus/comal-isd-school-board-president-draws-criticism-for-writing-china-virus/273-af9a8d93-0b77-49b4-b256-7ffee09bf4a8,Kens 5,Stigmatizing Statement,-98.12151,29.69925
53,A man was at a gas station when another man began to question him and ask why he had brought the virus into the U.S. He also asked him to leave the U.S.,7/15/2020,"Austin, TX, USA",https://baylorlariat.com/2020/09/15/the-challenges-i-faced-as-an-international-student-during-the-covid-19-pandemic/,Baylor Lariat,Verbal Harassment,-97.74299,30.26759
55,"Asian high school students in Missouri City, TX were mocked, including comments such as, ""Do you feel bad for bringing [the coronavirus] to the states?"" and, ""Don't get too close! You'll give me the virus!""",10/4/2020,"Missouri City, TX, USA",https://www.houstonchronicle.com/news/houston-texas/crime/article/New-generation-seeks-police-school-reforms-in-15617716.php,Houston Chronicle,Avoidance,-95.52698,29.60761
56,"An Austine Police Department officer texted: ""we're definitely getting corona. And it'll be that bastard,"" referencing an Asian man.",3/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2020/11/26/austin-police-officer-fired-over-racist-text-message-thread-memo-says/115050510/,Austin-American Statesman,Stigmatizing Statement,-97.74299,30.26759
57,"An Austin police officer suggested, over text, that an Asian man (who he believed was experiencing homelessness) would infect them with the coronavirus. One of the other officers in the message thread used a racial slur to refer to people of Asian descent.",3/20/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2020/11/26/austin-police-officer-fired-over-racist-text-message-thread-memo-says/115050510/,Austin-American Statesman,Stigmatizing Statement,-97.74299,30.26759
